3.515625000000133227e-05	2.251914999999999907e+02	2.300114000000000090e+02	3.590982437133789062e+00	2.770530090332031250e+02	0.000000000000000000e+00	3.218951000000000136e+02
9.000008789062499659e+01	2.250021999999999878e+02	2.313768000000000029e+02	3.643442153930664062e+00	2.685790710449218750e+02	1.220703126136868377e-05	3.227402000000000157e+02
1.800002460937499791e+02	2.262720999999999947e+02	2.316903000000000077e+02	3.119314670562744141e+00	2.661134948730468750e+02	2.441406252273736754e-05	3.238509999999999991e+02
2.700001582031249541e+02	2.265076999999999998e+02	2.302940999999999860e+02	3.029823303222656250e+00	2.761622924804687500e+02	1.220703126136868377e-05	3.230187000000000239e+02
-2.285156249999982514e-04	2.247888000000000090e+02	2.458323000000000036e+02	6.944291114807128906e+00	2.131963806152343750e+02	5.999938964843750000e+00	3.331118999999999915e+02
8.999991210937498920e+01	2.405525000000000091e+02	2.315722000000000094e+02	2.324496269226074219e+00	9.442459869384765625e+01	5.999975585937477263e+00	3.339030000000000200e+02
1.800008261718749907e+02	2.261831999999999994e+02	2.158043999999999869e+02	6.869553089141845703e+00	3.320671386718750000e+02	6.000036621093727263e+00	3.126186000000000149e+02
2.700000175781249254e+02	2.104173999999999864e+02	2.300697999999999865e+02	9.403849601745605469e+00	2.726682128906250000e+02	6.000012207031261369e+00	3.117812999999999874e+02
-2.109375000000010547e-04	2.245661000000000058e+02	2.617996999999999730e+02	1.246077442169189453e+01	1.978772583007812500e+02	1.199993896484375000e+01	3.449189000000000078e+02
9.000021093750000034e+01	2.563928000000000225e+02	2.317127000000000123e+02	8.683908462524414062e+00	9.179119110107421875e+01	1.199998779296873863e+01	3.455835999999999899e+02
1.799992441406249952e+02	2.264213000000000022e+02	1.998839999999999861e+02	1.246900272369384766e+01	3.458831787109375000e+02	1.200001220703126137e+01	3.020269000000000119e+02
2.700001933593749754e+02	1.944651000000000067e+02	2.299247000000000014e+02	1.522968006134033203e+01	2.718733825683593750e+02	1.200001220703126137e+01	3.011345999999999776e+02
-3.515625000000133227e-05	2.244139000000000124e+02	2.783938999999999737e+02	1.817946624755859375e+01	1.920641326904296875e+02	1.800000000000000000e+01	3.575817999999999870e+02
8.999991210937498920e+01	2.728519999999999754e+02	2.319369000000000085e+02	1.473616313934326172e+01	9.146549224853515625e+01	1.799997558593747726e+01	3.581102000000000203e+02
