x sens	y sens	zen sens	azim sens	zenith angle	azimuth angle	radius sens
237.3322	249.2323	nan	nan	272.5	0.0	344.1559
238.045	247.4637	nan	nan	272.5	90.0	343.3711
236.2186	246.7223	nan	nan	272.5	179.999	341.5715
235.4943	248.4599	nan	nan	272.5	270.0	342.3301
237.33	248.9811	nan	nan	272.6	0.0	343.9726
237.7578	247.4507	nan	nan	272.6	90.0	343.1627
236.2034	246.9835	nan	nan	272.6	180.0	341.7498
235.7676	248.4645	nan	nan	272.6	270.0	342.5215
237.3205	248.7164	nan	nan	272.7	0.0	343.7744
237.5107	247.445	nan	nan	272.7	90.0	342.9874
236.2286	247.241	nan	nan	272.7	180.0	341.9533
236.0348	248.4762	nan	nan	272.7	270.0	342.7139
237.3315	248.485	nan	nan	272.8	0.0	343.6147
237.2878	247.4529	nan	nan	272.8	90.0	342.8388
236.2496	247.4791	nan	nan	272.8	180.0	342.14
236.3014	248.4786	nan	nan	272.8	270.0	342.8994
237.3164	248.2655	nan	nan	272.9	0.0	343.4455
237.0239	247.4607	nan	nan	272.9	89.999	342.6618
236.2602	247.6932	nan	nan	272.9	180.001	342.3022
236.5193	248.4926	nan	nan	272.9	270.0	343.0597
237.3065	248.0168	nan	nan	273.0	-0.0	343.259
236.7555	247.4482	nan	nan	273.0	90.001	342.4672
236.2749	247.9459	nan	nan	273.0	180.0	342.4953
236.7757	248.4711	nan	nan	273.0	270.0	343.2209
237.3085	247.7459	nan	nan	273.1	0.0	343.0647
236.5072	247.4661	nan	nan	273.1	90.0	342.3085
236.2718	248.2057	nan	nan	273.1	180.0	342.6812
237.0412	248.4876	nan	nan	273.1	270.0	343.4161
237.305	247.4871	nan	nan	273.2	-0.0	342.8754
236.278	247.4521	nan	nan	273.2	89.999	342.1401
236.2809	248.4466	nan	nan	273.2	180.001	342.862
237.3096	248.5015	nan	nan	273.2	270.0	343.6115
237.3093	247.279	nan	nan	273.3	0.0	342.7282
236.0075	247.4412	nan	nan	273.3	90.0	341.9454
236.279	248.679	nan	nan	273.3	180.001	343.0292
237.5273	248.487	nan	nan	273.3	270.0	343.7514
237.2931	247.0137	nan	nan	273.4	0.001	342.5256
235.7355	247.4149	nan	nan	273.4	90.0	341.7387
236.2912	248.9429	nan	nan	273.4	180.0	343.2289
237.7689	248.4845	nan	nan	273.4	270.001	343.9166
