x sens	y sens	zen sens	azim sens	zenith angle	azimuth angle	radius sens
241.0724	243.0041	nan	nan	272.0	-0.0	342.2965
239.1697	246.1223	nan	nan	272.0	90.001	343.1885
242.2972	248.2679	nan	nan	272.0	180.0	346.9076
244.2751	245.0417	nan	nan	272.0	270.0	345.9997
241.0941	243.1707	nan	nan	272.07	-0.0	342.4301
239.3427	246.1414	nan	nan	272.07	90.0	343.3228
242.3009	248.0827	nan	nan	272.07	180.0	346.7777
244.0945	245.0182	nan	nan	272.07	270.0	345.8555
241.1124	243.3362	nan	nan	272.14	-0.0	342.5605
239.4991	246.1266	nan	nan	272.14	90.0	343.4212
242.2977	247.9158	nan	nan	272.14	180.0	346.6561
243.9012	245.0009	nan	nan	272.14	270.0	345.7069
241.1185	243.5214	nan	nan	272.21	0.0	342.6964
239.6698	246.1349	nan	nan	272.21	90.001	343.5462
242.302	    247.7387	nan	nan	272.21	180.0	346.5324
243.7114	244.9979	nan	nan	272.21	270.0	345.5709
241.129	    243.6914	nan	nan	272.28	-0.0	342.8246
239.8429	246.1279	nan	nan	272.28	90.0	343.662
242.3161	247.5378	nan	nan	272.28	179.999	346.3987
243.5114	245.0325	nan	nan	272.28	270.0	345.4544
241.1506	243.875	nan	nan	272.35	-0.0	342.9703
240.0284	246.1153	nan	nan	272.35	90.0	343.7825
242.288	    247.3077	nan	nan	272.35	180.0	346.2146
243.355	    245.0384	nan	nan	272.35	270.0	345.3483
241.1295	244.0667	nan	nan	272.42	-0.0	343.0918
240.2224	246.0957	nan	nan	272.42	90.0	343.9039
242.2696	247.1031	nan	nan	272.42	180.0	346.0556
243.1595	245.0248	nan	nan	272.42	270.0	345.2009
241.151	244.2286	nan	nan	272.49	-0.0	343.2221
240.3961	246.1292	nan	nan	272.49	90.0	344.0492
242.2826	246.944	nan	nan	272.49	180.0	345.9511
242.9701	245.0389	nan	nan	272.49	270.0	345.0776
241.178	244.4095	nan	nan	272.56	-0.0	343.3698
240.5501	246.1152	nan	nan	272.56	90.0	344.1468
242.2866	246.7562	nan	nan	272.56	180.0	345.8199
242.7794	245.0248	nan	nan	272.56	270.0	344.9333
241.1733	244.6051	nan	nan	272.63	-0.0	343.5058
240.7314	246.1033	nan	nan	272.63	90.0	344.2651
242.2822	246.5813	nan	nan	272.63	179.999	345.6921
242.6321	245.017	nan	nan	272.63	270.0	344.8241
241.1744	244.7648	nan	nan	272.7	0.0	343.6203
240.9442	246.1269	nan	nan	272.7	89.999	344.4308
242.268	246.3681	nan	nan	272.7	180.0	345.5301
242.4557	245.0454	nan	nan	272.7	270.0	344.7202
241.1773	244.9867	nan	nan	272.77	-0.0	343.7804
241.1403	246.1236	nan	nan	272.77	90.0	344.5656
242.2547	246.1803	nan	nan	272.77	180.0	345.3869
242.3111	245.0391	nan	nan	272.77	270.0	344.614
241.1761	245.1339	nan	nan	272.84	-0.0	343.8845
241.3071	246.1385	nan	nan	272.84	90.001	344.693
242.2576	245.9901	nan	nan	272.84	180.0	345.2533
242.1286	245.0428	nan	nan	272.84	270.0	344.4884
241.185	245.3146	nan	nan	272.91	-0.0	344.0196
241.458	246.1424	nan	nan	272.91	90.0	344.8015
242.2596	245.8135	nan	nan	272.91	180.0	345.1289
241.96	245.0315	nan	nan	272.91	270.0	344.3618
241.1887	245.4937	nan	nan	272.98	-0.0	344.1499
241.6427	246.153	nan	nan	272.98	90.0	344.9384
242.2671	245.6378	nan	nan	272.98	180.0	345.0091
241.7449	245.0374	nan	nan	272.98	270.0	344.2149
241.1949	245.6813	nan	nan	273.05	0.0	344.2881
241.8253	246.1463	nan	nan	273.05	89.999	345.0616
242.2594	245.4642	nan	nan	273.05	180.0	344.8801
241.5745	245.0342	nan	nan	273.05	270.0	344.093
241.195	245.8959	nan	nan	273.12	0.0	344.4413
242.0443	246.1178	nan	nan	273.12	90.0	345.1947
242.2479	245.2773	nan	nan	273.12	180.0	344.739
241.4052	245.051	nan	nan	273.12	270.0	343.9861
241.1999	246.0634	nan	nan	273.19	-0.0	344.5643
242.1868	246.1172	nan	nan	273.19	90.0	345.2943
242.2495	245.0951	nan	nan	273.19	180.0	344.6105
241.2228	245.0358	nan	nan	273.19	270.0	343.8473
241.2113	246.2396	nan	nan	273.26	-0.0	344.6982
242.377	246.1233	nan	nan	273.26	90.0	345.432
242.239	244.9075	nan	nan	273.26	179.999	344.4698
241.0677	245.0276	nan	nan	273.26	270.0	343.7327
241.2002	246.4195	nan	nan	273.33	-0.0	344.8189
242.5279	246.1305	nan	nan	273.33	89.999	345.5431
242.242	244.7364	nan	nan	273.33	180.0	344.3502
240.8578	245.0211	nan	nan	273.33	270.0	343.5809
