x sens,y sens,zen sens,azim sens,zenith angle,azimuth angle,radius sens
234.544,240.726,nan,nan,270.0,0.0,336.0950684136856
226.796,249.542,nan,nan,270.0,90.0,337.20562774070066
235.997,257.241,nan,nan,270.0,180.0,349.09528225113553
243.494,248.289,nan,nan,270.0,270.0,347.7596232413993
234.613,246.238,nan,nan,272.0,0.0,340.1123526321854
232.449,249.656,nan,nan,272.0,90.0,341.11677756598255
235.789,251.83,nan,nan,272.0,180.0,344.98521913409564
238.067,248.393,nan,nan,272.0,270.0,344.0566507684454
