x sens	y sens	zen sens	azim sens	zenith angle	azimuth angle	radius sens
0.5432	0.0146	nan	nan	0.0	-0.0	0.5434
-0.0229	-0.5297	nan	nan	0.0	90.001	0.5302
-0.4904	-0.036	nan	nan	0.0	180.0	0.4917
-0.0074	0.4913	nan	nan	0.0	270.0	0.4914
0.5846	-15.3264	nan	nan	6.0	0.0	15.3375
-15.2502	-0.5689	nan	nan	6.0	90.0	15.2608
-0.5213	15.408	nan	nan	6.0	180.0	15.4168
15.3676	0.6196	nan	nan	6.0	270.001	15.3801
0.6316	-30.904	nan	nan	12.0	0.0	30.9105
-30.8564	-0.6153	nan	nan	12.0	89.999	30.8625
-0.759	31.1858	nan	nan	12.0	179.999	31.195
30.9524	0.6441	nan	nan	12.0	270.0	30.9591
0.4862	-47.1339	nan	nan	18.0	-0.001	47.1364
-46.8581	-0.7094	nan	nan	18.0	90.0	46.8635
-0.6179	47.0487	nan	nan	18.0	180.0	47.0528
47.1366	0.6807	nan	nan	18.0	270.0	47.1415
0.7425	-64.188	nan	nan	24.0	0.0	64.1923
-64.2648	-1.1791	nan	nan	24.0	90.0	64.2756
-0.6423	64.1356	nan	nan	24.0	180.0	64.1388
64.3335	0.6597	nan	nan	24.0	269.999	64.3369
0.7692	-82.7722	nan	nan	30.0	-0.001	82.7758
-82.4943	-1.0623	nan	nan	30.0	90.001	82.5011
-0.7381	82.4748	nan	nan	30.0	180.0	82.4781
82.7324	0.6029	nan	nan	30.0	270.0	82.7346
0.764	-103.21	nan	nan	36.0	-0.0	103.2128
-103.1023	-1.2437	nan	nan	36.0	90.0	103.1098
-0.748	102.7246	nan	nan	36.0	180.0	102.7273
103.0516	0.517	nan	nan	36.0	270.0	103.0529
0.9279	-126.3123	nan	nan	42.0	0.001	126.3157
-125.7448	-1.5912	nan	nan	42.0	90.0	125.7549
-0.7562	125.5069	nan	nan	42.0	179.999	125.5092
126.1763	0.4582	nan	nan	42.0	270.0	126.1771
1.0472	-153.5045	nan	nan	48.0	-0.0	153.5081
-152.8153	-1.9018	nan	nan	48.0	90.0	152.8271
-0.9378	152.5955	nan	nan	48.0	180.0	152.5984
153.2332	0.4069	nan	nan	48.0	270.0	153.2337
1.2482	-186.8815	nan	nan	54.0	-0.0	186.8857
-185.6105	-2.2756	nan	nan	54.0	90.0	185.6244
-1.0348	185.3715	nan	nan	54.0	180.0	185.3744
186.554	0.3794	nan	nan	54.0	270.0	186.5544
