sensor angle	rotator angle	time, sec
51.7695	221.50499267578127	1705555586.3034892
43.1194	230.06500244140628	1705555588.015557
34.5621	238.62485351562503	1705555589.7275078
25.9934	247.18007812500002	1705555591.4385087
17.4422	255.74240722656253	1705555593.1508667
8.9103	264.3000122070313	1705555594.8628416
0.7221	272.85999755859376	1705555596.5744119
8.3069	281.4276000976563	1705555598.2882926
16.8622	289.984619140625	1705555599.999686
25.3303	298.55982666015626	1705555601.7116685
34.0492	307.27495117187505	1705555603.4562771
42.5722	315.83720703125005	1705555605.1695511
51.1688	324.39494628906255	1705555606.8809958
57.588	332.95781250000005	1705555608.5939417
57.5179	333.00001220703126	1705555610.3071148
