sensor angle	rotator angle	time, sec
54.8823	218.11502685546878	1705555514.5660849
49.8295	223.24658203125003	1705555516.2773857
44.6751	228.38089599609378	1705555517.9883072
39.544	233.52749023437502	1705555519.700789
34.3585	238.66184082031253	1705555521.4158254
29.227	243.79962158203128	1705555523.1274066
24.0942	248.931103515625	1705555524.8388004
18.9705	254.06690673828126	1705555526.5508485
13.818	259.20468750000003	1705555528.2630687
8.7301	264.3373046875	1705555529.973742
3.5798	269.4734619140625	1705555531.6861775
1.6592	274.6063598632813	1705555533.3971403
6.7608	279.742333984375	1705555535.1089933
11.8899	284.87562255859376	1705555536.820576
17.0529	290.01298828125005	1705555538.5324037
22.0989	295.1476684570313	1705555540.2445092
27.2471	300.2804809570313	1705555541.9554775
32.3184	305.4163330078125	1705555543.6673148
37.4883	310.554443359375	1705555545.379724
42.5728	315.6898071289063	1705555547.0920496
47.7087	320.82130126953126	1705555548.8027563
52.8594	325.95594482421876	1705555550.5138123
57.1281	331.0904418945313	1705555552.2258942
57.518	332.99997558593753	1705555553.9436069
