sensor angle	rotator angle	time, sec	initial time, sec
56.4544	329.58403320312505	1705563031.9770968	1705563030.2652285
53.4281	326.152001953125	1705563033.696572	1705563030.2652285
50.0265	322.72404785156255	1705563035.4108527	1705563030.2652285
46.5604	319.2839599609375	1705563037.1289158	1705563030.2652285
39.17	311.91594238281255	1705563040.814876	1705563030.2652285
35.8685	308.47906494140625	1705563042.5332437	1705563030.2652285
29.2433	301.8989624023438	1705563045.8233998	1705563030.2652285
25.7987	298.46701660156253	1705563047.5395112	1705563030.2652285
22.3809	295.0359252929688	1705563049.2554698	1705563030.2652285
18.9153	291.60609130859376	1705563050.9701731	1705563030.2652285
15.5903	288.1748901367188	1705563052.68525	1705563030.2652285
12.1586	284.7427856445313	1705563054.4015744	1705563030.2652285
8.7399	281.31495361328126	1705563056.1158109	1705563030.2652285
5.3173	277.8868774414063	1705563057.830102	1705563030.2652285
1.8851	274.455029296875	1705563059.546163	1705563030.2652285
1.6812	271.02294921875	1705563061.2621188	1705563030.2652285
5.0687	267.5939819335938	1705563062.976203	1705563030.2652285
8.5022	264.1639770507813	1705563064.6911342	1705563030.2652285
11.9544	260.7359619140625	1705563066.404931	1705563030.2652285
15.3574	257.30408935546876	1705563068.1211383	1705563030.2652285
18.7736	253.87491455078128	1705563069.8361008	1705563030.2652285
22.202	250.44384765625003	1705563071.550693	1705563030.2652285
25.6235	247.01198730468752	1705563073.2669957	1705563030.2652285
29.0496	243.58206787109378	1705563074.982878	1705563030.2652285
32.4971	240.14998779296877	1705563076.698808	1705563030.2652285
35.9212	236.71896972656253	1705563078.413548	1705563030.2652285
39.3906	233.29189453125002	1705563080.1282597	1705563030.2652285
42.7451	229.86186523437502	1705563081.8425677	1705563030.2652285
46.219	226.433056640625	1705563083.5570455	1705563030.2652285
49.6894	223.00107421875003	1705563085.2664106	1705563030.2652285
53.1513	219.57099609375	1705563086.9884086	1705563030.2652285
56.2516	216.14083251953127	1705563088.7029495	1705563030.2652285
57.5724	212.99968261718752	1705563090.406552	1705563030.2652285
