sensor angle	rotator angle	time, sec
56.4484	329.5919189453125	1705555452.9229715
53.4213	326.16574707031253	1705555454.6359677
50.0279	322.743896484375	1705555456.3470469
46.5774	319.319970703125	1705555458.0589821
43.1418	315.89597167968753	1705555459.7713404
39.7255	312.47185058593755	1705555461.4827125
36.3729	309.0489379882813	1705555463.195317
32.9257	305.62403564453126	1705555464.9074125
29.5327	302.1999389648438	1705555466.6192448
26.1016	298.77802734375	1705555468.3306928
22.6912	295.3539916992188	1705555470.0425255
19.2422	291.9302124023438	1705555471.7546647
15.9147	288.50506591796875	1705555473.4666965
12.4845	285.0830444335938	1705555475.1780565
9.0796	281.65908203125	1705555476.8900275
5.6466	278.23585205078126	1705555478.6020164
2.2138	274.81103515625	1705555480.313902
1.3479	271.3878173828125	1705555482.0260866
4.6984	267.9630004882813	1705555483.7383838
8.1334	264.538818359375	1705555485.4503913
11.5852	261.11699218750005	1705555487.1611936
14.9499	257.6929443359375	1705555488.8735278
18.3862	254.26676025390628	1705555490.5865731
21.8138	250.84294433593752	1705555492.2986727
25.2406	247.41983642578128	1705555494.0100317
28.6405	243.99388427734377	1705555495.7218492
32.0709	240.56994628906253	1705555497.4347975
35.5041	237.14591064453128	1705555499.146886
38.958	233.72508544921877	1705555500.8577824
42.2805	230.30198974609377	1705555502.568885
45.7518	226.87805175781253	1705555504.2811205
49.2361	223.45390625000002	1705555505.9931228
52.6701	220.03216552734378	1705555507.7041652
55.8643	216.60996093750003	1705555509.415092
57.5923	213.18585205078128	1705555511.1267202
57.573	212.99998779296877	1705555512.844471
