sensor angle	rotator angle	time, sec	initial time, sec
51.7548	221.52231445312503	1705563163.6417584	1705563161.9257686
43.0751	230.10262451171877	1705563165.3576767	1705563161.9257686
34.508	238.67486572265628	1705563167.072566	1705563161.9257686
25.9205	247.25512695312503	1705563168.7877388	1705563161.9257686
17.3443	255.83251953125003	1705563170.5031073	1705563161.9257686
8.7956	264.4123779296875	1705563172.2192218	1705563161.9257686
0.6847	272.99235839843755	1705563173.9356437	1705563161.9257686
8.4585	281.56739501953126	1705563175.6508708	1705563161.9257686
17.0393	290.13730468750003	1705563177.3647792	1705563161.9257686
25.515	298.7123046875	1705563179.0797086	1705563161.9257686
34.0896	307.2949096679688	1705563180.7962537	1705563161.9257686
42.621	315.8622924804688	1705563182.5101357	1705563161.9257686
51.2312	324.4348999023438	1705563184.2241306	1705563161.9257686
57.5828	332.9957641601563	1705563185.937429	1705563161.9257686
57.5119	333.00001220703126	1705563187.657841	1705563161.9257686
