sensor angle	rotator angle	time, sec
53.6003	326.1917724609375	1705555555.662657
46.7703	319.3438232421875	1705555557.375144
39.9221	312.4958862304688	1705555559.0872092
33.0928	305.61817626953126	1705555560.8059776
20.2309	292.6899047851563	1705555564.0385215
13.3884	285.842041015625	1705555565.750454
6.5583	278.99805908203126	1705555567.4615088
0.7279	272.15008544921875	1705555569.173513
7.2305	265.30201416015626	1705555570.885863
14.0232	258.4580444335938	1705555572.5968611
20.8905	251.61016845703128	1705555574.3089294
27.7167	244.76213378906252	1705555576.0208235
34.5803	237.91405029296877	1705555577.7328858
41.3889	231.06802978515628	1705555579.4442513
48.3022	224.21990966796878	1705555581.1562505
55.0768	217.37795410156252	1705555582.8671973
57.5726	212.99998779296877	1705555584.5812206
