sensor angle	rotator angle	time, sec	initial time, sec
45.2135	228.30876464843752	1705563243.9909997	1705563242.2759101
29.7391	243.75308837890628	1705563245.70623	1705563242.2759101
14.3002	259.19243164062505	1705563247.4215562	1705563242.2759101
1.285	274.6361083984375	1705563249.1372898	1705563242.2759101
16.6554	290.0664794921875	1705563250.8529398	1705563242.2759101
31.9751	305.50192871093753	1705563252.5680006	1705563242.2759101
47.3811	320.932568359375	1705563254.2821388	1705563242.2759101
57.5115	333.00009765625003	1705563255.9985316	1705563242.2759101
