sensor angle	rotator angle	time, sec
51.5692	221.5198852539063	1705053755.3040276
42.9032	230.09273681640627	1705053757.0181239
34.3258	238.66745605468753	1705053758.7334077
25.7442	247.24260253906255	1705053760.4479923
17.1979	255.80488281250004	1705053762.1608891
8.665	264.37248535156255	1705053763.8742757
0.6688	272.9599487304688	1705053765.5914574
8.5847	281.5322875976563	1705053767.3067641
17.1785	290.10971679687503	1705053769.0180876
25.6557	298.68991699218753	1705053770.727816
34.2454	307.2800537109375	1705053772.4563994
42.7523	315.8547973632813	1705053774.1713498
51.365	324.4296264648438	1705053775.8860886
57.5643	332.9957153320313	1705053777.5989184
57.463	333.0000122070313	1705053779.3175027
