sensor angle	rotator angle	time, sec	initial time, sec
54.8791	218.12410888671877	1705563092.1448846	1705563090.4276023
49.8197	223.27053222656252	1705563093.8603203	1705563090.4276023
44.6458	228.41832275390627	1705563095.5755498	1705563090.4276023
39.4979	233.56480712890627	1705563097.2916605	1705563090.4276023
34.3131	238.70996093750003	1705563099.006303	1705563090.4276023
29.1774	243.85511474609376	1705563100.721641	1705563090.4276023
24.02	249.00157470703127	1705563102.4374816	1705563090.4276023
18.8939	254.14649658203126	1705563104.152313	1705563090.4276023
13.7398	259.2898803710938	1705563105.8670366	1705563090.4276023
8.6297	264.43498535156255	1705563107.5753362	1705563090.4276023
3.4508	269.5843383789063	1705563109.2985566	1705563090.4276023
1.7879	274.72938232421876	1705563111.0135596	1705563090.4276023
6.9085	279.8714111328125	1705563112.7270215	1705563090.4276023
12.041	285.01652832031255	1705563114.4421327	1705563090.4276023
17.2156	290.161328125	1705563116.1575532	1705563090.4276023
22.2593	295.306640625	1705563117.872875	1705563090.4276023
27.4237	300.45582275390626	1705563119.5881114	1705563090.4276023
32.545	305.6023681640625	1705563121.3045635	1705563090.4276023
37.698	310.7477905273438	1705563123.019325	1705563090.4276023
42.804	315.9090576171875	1705563124.7275567	1705563090.4276023
52.4656	325.546533203125	1705563127.9527264	1705563090.4276023
56.9363	330.69438476562505	1705563129.6686342	1705563090.4276023
57.5122	333.0	1705563131.3735445	1705563090.4276023
