sensor angle	rotator angle	time, sec
51.5753	221.51992187500002	1705053378.1388774
42.8907	230.10506591796877	1705053379.8467276
34.3214	238.67492675781253	1705053381.5695004
25.7363	247.25505371093755	1705053383.285631
17.1721	255.83489990234378	1705053385.0024133
8.636	264.4099487304688	1705053386.7172267
0.6701	272.99260253906255	1705053388.4197137
8.6324	281.57984619140626	1705053390.150945
17.2225	290.1547485351563	1705053391.8662956
25.6945	298.7323364257813	1705053393.581137
34.2784	307.31010742187505	1705053395.296177
42.7804	315.884912109375	1705053397.0121722
51.3886	324.4546508789063	1705053398.7265666
57.5582	333.0007690429688	1705053400.4417045
57.463	333.0000244140625	1705053402.1578984
