sensor angle	rotator angle	time, sec	initial time, sec
50.4131	322.76718750000003	1705563189.3852162	1705563187.6686301
40.0852	312.47706298828126	1705563191.1004765	1705563187.6686301
29.8519	300.9299560546875	1705563192.8107274	1705563187.6686301
1.2634	273.4564086914063	1705563197.603699	1705563187.6686301
9.2022	263.1540893554688	1705563199.3209398	1705563187.6686301
19.4766	252.86403808593752	1705563201.033327	1705563187.6686301
29.7632	242.57396240234377	1705563202.7507236	1705563187.6686301
40.0855	232.27805175781253	1705563204.467291	1705563187.6686301
50.4166	221.98793945312502	1705563206.1821876	1705563187.6686301
57.572	212.99975585937503	1705563207.898079	1705563187.6686301
