sensor angle	rotator angle	time, sec	initial time, sec
53.6059	326.1719848632813	1705563133.1130767	1705563131.3968048
46.7563	319.2499877929688	1705563134.8286324	1705563131.3968048
27.6706	300.16802978515625	1705563139.6144865	1705563131.3968048
20.7902	293.3081787109375	1705563141.329476	1705563131.3968048
14.0137	286.44597167968755	1705563143.0403712	1705563131.3968048
7.161	279.58208007812505	1705563144.7605228	1705563131.3968048
0.7023	272.71806640625005	1705563146.4770741	1705563131.3968048
6.6508	265.8539916992188	1705563148.1925201	1705563131.3968048
13.4993	258.99382324218755	1705563149.907323	1705563131.3968048
20.3675	252.13416748046876	1705563151.6227548	1705563131.3968048
27.208	245.27004394531252	1705563153.3381844	1705563131.3968048
34.0667	238.41009521484378	1705563155.054109	1705563131.3968048
40.992	231.54604492187502	1705563156.7700696	1705563131.3968048
47.8482	224.68599853515627	1705563158.4841442	1705563131.3968048
54.6828	217.82188720703127	1705563160.2010155	1705563131.3968048
57.5721	212.99996337890627	1705563161.9133596	1705563131.3968048
