sensor angle	rotator angle	time, sec
57.2521	214.70485839843752	1705555332.7370803
56.1807	216.41569824218752	1705555334.4481277
54.6892	218.12697753906252	1705555336.1594539
53.0704	219.8390625	1705555337.8714354
51.3729	221.54995117187502	1705555339.5823803
49.6278	223.26124267578126	1705555341.2933748
47.8879	224.97341308593752	1705555343.0056617
46.1567	226.68524169921878	1705555344.7175772
44.478	228.39837646484378	1705555346.4310262
42.7015	230.11119384765627	1705555348.1436949
41.0368	231.82437744140628	1705555349.856166
39.3309	233.54123535156253	1705555351.573588
35.5211	237.32237548828127	1705555355.3549774
33.8022	239.03978271484377	1705555357.0716507
30.2528	242.5969970703125	1705555360.629213
28.53	244.31514892578127	1705555362.3475494
25.2658	247.59130859375003	1705555365.6236048
23.5606	249.30246582031253	1705555367.334485
21.8555	251.0142333984375	1705555369.0465107
20.1441	252.72487792968752	1705555370.7575684
18.4333	254.43615722656253	1705555372.4688754
16.7308	256.1484252929688	1705555374.1808841
15.019	257.8592895507813	1705555375.8918753
13.2995	259.5713745117188	1705555377.6038342
11.6473	261.28330078125003	1705555379.3158844
9.9151	262.9942626953125	1705555381.0272045
8.2015	264.7074340820313	1705555382.7392402
6.4685	266.4193481445313	1705555384.4522212
4.7596	268.1303344726563	1705555386.1631868
3.0593	269.84123535156255	1705555387.8741345
1.393	271.5530029296875	1705555389.5854938
0.7459	273.26466064453126	1705555391.2971358
2.1439	274.97690429687503	1705555393.009568
3.8684	276.6872192382813	1705555394.7205439
5.5612	278.39890136718753	1705555396.4318707
7.2756	280.11060791015626	1705555398.1438653
9.0064	281.82182617187505	1705555399.8548813
10.6912	283.53333740234376	1705555401.5658
12.4098	285.24432373046875	1705555403.27705
14.1037	286.9549072265625	1705555404.988146
15.8257	288.66721191406253	1705555406.7001595
17.6057	290.37841796875	1705555408.4111524
19.1498	292.088623046875	1705555410.1221488
20.8565	293.80048828125	1705555411.8333526
22.6041	295.511181640625	1705555413.5444121
24.3091	297.22230224609376	1705555415.2553868
26.0162	298.93372802734376	1705555416.967414
27.7284	300.64543457031255	1705555418.6787314
29.4605	302.35637207031255	1705555420.389668
31.1336	304.0683227539063	1705555422.101714
32.8525	305.77934570312505	1705555423.8126576
34.5794	307.4902221679688	1705555425.5237024
36.299	309.2016479492188	1705555427.2350233
37.9915	310.91383056640626	1705555428.9470212
39.6315	312.6259399414063	1705555430.659016
41.3835	314.336376953125	1705555432.3700497
43.0571	316.0493408203125	1705555434.0822499
44.7981	317.7596313476563	1705555435.793349
46.4856	319.47095947265626	1705555437.5040996
48.2211	321.18168945312505	1705555439.2153206
49.9424	322.89288330078125	1705555440.9263833
51.6352	324.6043701171875	1705555442.6376479
53.3446	326.31573486328125	1705555444.3496141
54.9514	328.0283081054688	1705555446.0615745
56.3781	329.73907470703125	1705555447.7724166
57.37	331.4499755859375	1705555449.483599
57.5202	333.0004028320313	1705555451.1971083
