sensor angle	rotator angle	time, sec	initial time, sec
47.1383	319.3719116210938	1705563228.5410478	1705563226.8236594
33.4599	305.65234375	1705563230.2561889	1705563226.8236594
19.7755	291.9201904296875	1705563231.9723573	1705563226.8236594
6.0812	278.19581298828126	1705563233.688275	1705563226.8236594
7.7195	264.4759521484375	1705563235.4035614	1705563226.8236594
21.4471	250.7482421875	1705563237.115589	1705563226.8236594
35.1801	237.02829589843753	1705563238.8345582	1705563226.8236594
48.9419	223.2998779296875	1705563240.550515	1705563226.8236594
57.5719	212.99990234375002	1705563242.256334	1705563226.8236594
