sensor angle	rotator angle	time, sec	initial time, sec
41.8834	231.69431152343753	1705563270.0003932	1705563268.2845893
23.0768	250.57580566406253	1705563271.710994	1705563268.2845893
4.2133	269.43507080078126	1705563273.432824	1705563268.2845893
14.701	288.3004150390625	1705563275.147903	1705563268.2845893
33.5024	307.1653564453125	1705563276.8633802	1705563268.2845893
52.338	326.0306762695313	1705563278.5780845	1705563268.2845893
57.5113	333.00004882812505	1705563280.2835462	1705563268.2845893
